over,short_text,long_text
17.1,"Krunal to Bravo, 1 run","yorker, at the base of leg stump, and Bravo makes room before driving to deep extra cover"
16.6,"Bumrah to Bravo, 1 run","length ball, just outside off, and fended off the back foot to cover. Just one. CSK need 38 off 18"
16.5,"Bumrah to Watson, 1 bye","wiiiild! Back of a length on middle, and soaring over Watson. QdK dives to his left to try and stop the ball, but the ball flies off his glove. An extra run for CSK"
16.4,"Bumrah to Watson, no run","hits Watson near the gut! Back of a length on middle, and angling into Watson again. He misses the pull, and the ball rolls away after hitting his body. Bravo wants a single, but he's been asked to go back. The direct hit from point doesn't bother umpire Ian Gould. Doesn't even go to the TV umpire"
16.3,"Bumrah to Watson, no run","fast! Back of a length, on off, and the ball whizzes past Watson's bat. Misses the attempted cut"
16.2,"Bumrah to Bravo, 1 run","once again, back of a length on middle and angling into DJ's body. Worked away to the leg side, rather uncomfortably"
16.1,"Bumrah to Watson, 1 run","back of a length, angling into Watson, and he's pulled this right in the air. Rahul Chahar gets under it from deep midwicket, and settles under it to take a catch, but my oh my, Chahar has dropped this!"
15.6,"Malinga to Watson, 1 run","yorker, around the wicket, and tapped away to point for one. Watson keeps strike"
15.5,"Malinga to Watson, FOUR runs","hello, rocket man! What power, what timing. Another full one outside off, and Watson goes deep into his crease before hammering a shot through the covers. Nobody bothered moving"
15.4,"Malinga to Watson, FOUR runs","slapped over short third man, and deep point can't intercept either! Too full, too wide, and Watson has muscled a sliced shot behind square"
15.3,"Malinga to Watson, FOUR runs","thick edge between short third man and the keeper! Full on off, and his attempted drive finds enough contact to go behind him for four. Watson won't mind"
15.2,"Malinga to Bravo, 1 run","another low full toss, but this is mistimed down to long on"
15.1,"Malinga to Bravo, SIX runs","bottom hand for the win! Full, on his toes, and flicked square over cow corner! What a start to the over. Misses the yorker, and pays the price"
14.6,"McClenaghan to Bravo, 1 run",makes room and forces this slower length ball to deep point.
14.5,"McClenaghan to Bravo, no run","banged in short, just outside leg. Watson ducks in anticipation of a wide but this is a good call from Ian Gould."
14.4,"McClenaghan to Bravo, 2 runs","slashes this as he gets onto the toes, down to square third man but it's a weak throw from Bumrah as they get back for the second"
14.3,"McClenaghan to Bravo, no run","beauty! It's the off-cutter angled across, Bravo looks to open the bat face to ease but is beaten"
14.2,"McClenaghan to Bravo, no run","punches straight to point, pressure building."
14.1,"McClenaghan to Bravo, no run",hops across and defends this short of length delivery
13.6,"Chahar to Watson, no run",punches straight to extra cover. End of an outstanding spell. 4-0-14-1. Time for a breather as they take the time-out
13.5,"Chahar to Watson, no run","put down!  This was drilled straight back to the bowler, bobbled out of Chahar's hand on the followthrough."
13.4,"Chahar to Bravo, 1 run","squared up by sharp turn, gets a thick outside edge to short third man as they scamper a single"
13.3,"Chahar to Watson, 1 run","skids one on middle, Watson gets besides the line as he defends for a quick single"
13.2,"Chahar to Bravo, 1 run",wrong'un which he eases wide of point
13.1,"Chahar to Bravo, no run","draws him forward in flight, Bravo defends"
12.6,"Pandya to Watson, no run","slower delivery outside off, Watson picks out short third man as he tries to steer it wider. Doesn't have the pace to work with again"
12.5,"Pandya to Watson, no run",bunts this to short third man
12.4,"Pandya to Watson, 1 run, OUT","has Dhoni been dismissed here stealing a second for the overthrow? Yes, yes. He is. Or is he? One angle says there's some doubt. Another suggests he's an inch short with the direct hit. In the end, he has been given. Dhoni started walking off even before the third umpire pressed the button. Then he stopped. Huge, huge moment in the match. Back to the ball: this was bunted to short fine as Malinga fired a throw at the bowler's end. They chanced a second because the mid-off fielder Ishan Kishan was a touch wide, but in thinking so, they may have been a tad too casual. Kishan moves to his left and hits direct at the bowler's end. Dhoni may have lost a split-second because he had to run around the bowler to get back into the crease. What a moment in the game."
12.3,"Pandya to Watson, no run",cuts this slower ball straight to backward point
12.3,"Pandya to Watson, 1 wide","bowls his too far wide outside off, and it's been called rightly so by the umpire as Watson let that go"
12.2,"Pandya to Watson, no run",chops this slower delivery to backward point. Pressure building.
12.1,"Pandya to Dhoni, 1 run",punched into the deep cover region
11.6,"Chahar to Watson, FOUR runs","sliding down and Watson sweeps, through Bumrah's legs to the boundary. Was placed specifically at short fine for the sweep. The bowler isn't amused."
11.5,"Chahar to Dhoni, 1 run","steps out and laces this wide of cover to get off the mark, off his seventh delivery"
11.4,"Chahar to Dhoni, no run",goes right back and bunts this to cover
11.3,"Chahar to Dhoni, no run",steps out and works this full delivery straight to short midwicket
11.2,"Chahar to Dhoni, no run",draws Dhoni forward and then gets it to beat the edge as he prods forward. Lovely from Rahul Chahar
11.1,"Chahar to Watson, 1 run",eased down to long-on
10.6,"Bumrah to Dhoni, no run",copy book forward defence to a full delivery. Superb over
10.5,"Bumrah to Dhoni, no run","leaves a skiddy length ball outside off, zips through to the keeper"
10.4,"Bumrah to Dhoni, no run",starts off with a jaffa! Angles in and holds its line as Dhoni pokes and misses
10.3,"Bumrah to Rayudu, OUT","has he got him? Yes, Rayudu walks. Ripper of a bouncer from Bumrah, Rayudu walks across to help this along but is beaten for pace as this flicks the glove on the way through to de Kock. Massive moment in the game. MS Dhoni will once again have to do all the heavy lifting to see CSK home."
10.2,"Bumrah to Watson, 1 run",hops back and angles this down to third man
10.1,"Bumrah to Watson, no run","slants in a skiddy length ball from wide of the crease, defended back"
9.6,"Chahar to Rayudu, no run","fullish, wide outside off, and he attempts to cut this late. Finds the fielder at point"
9.5,"Chahar to Rayudu, no run",teasing delivery full outside off. Rayudu steps forward to defend but the ball whizzes past his outside edge
9.4,"Chahar to Watson, 1 run","length ball outside off, and turning further away. Cut to deep point"
9.3,"Chahar to Rayudu, 1 run","googly, length ball outside off and spinning inwards. Pulled to deep midwicket"
9.2,"Chahar to Raina, OUT","Chahar celebrates even before the umpire raised his finger! Another skidder, length on middle and going straight through. Raina goes onto the back foot to defend, but he misses, and it hits his front leg. But Raina chooses to review after a long deliberation with Watson. Pitched on middle, impact on middle, and the ball would clip middle stump. Raina falls as Chahar drags Mumbai back into this game! Oh, and CSK lose their review as well. Ay Caramba."
9.1,"Chahar to Raina, no run","length ball on middle, and spins sharply into Raina. He tries to fend, but the ball has sneaked through to QdK behind the stumps"
8.6,"McClenaghan to Watson, no run","length ball on middle, and he tries to play a delicate late cut. Played to short third man"
8.5,"McClenaghan to Watson, no run","another slower ball, short and slow on middle. Mistimes a pull"
8.4,"McClenaghan to Watson, 2 runs","top-edged and Malinga drops the catch. Is this Watson's night? Length ball on middle, and Watson was through his pull too early. In the air for a long time, but Malinga - at square leg - cannot cover the ground. Attempts a valiant dive, but the ball didn't even get his fingertips. Yikes"
8.3,"McClenaghan to Watson, 2 runs","slower ball, full outside off, and Watson drags a slogged shot to deep midwicket. No real timing there, but that's what allows him to come back for the second run"
8.3,"McClenaghan to Watson, 1 wide","slower ball, full outside off, and goes through to the keeper. Umpire Gould calls it a wide, but replays suggest the ball was inside the tram-lines. Touch and go"
8.2,"McClenaghan to Watson, FOUR runs","hammered! Full, on off stump, and Watson's fast hands makes no mistake. Demolishes this half-volley past the non-striker to the long-off boundary"
8.1,"McClenaghan to Raina, 1 run","appeal for lbw again with the slower ball dipping in late. Raina flicked this to fine leg, but McClenaghan believes it went off the pads. Nah, they aren't reviewing. It definitely came off the bat"
7.6,"Chahar to Raina, 1 run","full on leg stump, and worked off his hips to deep midwicket. Tidy over, just the three runs"
7.5,"Chahar to Raina, no run","full on off, and the googly goes away from Raina. Steered to short third man"
7.4,"Chahar to Raina, no run",length ball on middle and turning into Raina. Tapped back to Chahar on this occasion
7.3,"Chahar to Watson, 1 run",length ball outside off and turning further away. Cut off the back foot to the fielder in the deep once again
7.2,"Chahar to Watson, no run",length ball on off and pulled off the back foot to deep midwicket
7.1,"Chahar to Raina, 1 run","length ball on leg stump, and nudged off his hips to square leg. Comfortably played"
6.6,"McClenaghan to Watson, no run","fullish, on middle, and he mistimes a leg-side clip. Inside-edged onto his pads. An entertaining over comes to a close"
6.5,"McClenaghan to Watson, no run","full on leg stump, and he misses the flick off this slower ball. Hits his pad, and Mitch appeals for lbw, but not given. Replays suggest it pitched outside leg"
6.4,"McClenaghan to Raina, 1 run","length ball on middle, and nudged off his pads to fine leg for a single"
6.3,"McClenaghan to Raina, no run","short ball, back of a length on middle, and the ball takes some extra bounce off the deck! Raina uncomfortably tries to defend, and the ball flies over his gloves and into de Kock's hands. Bowler appeals for caught-behind, and the umpire says out! Raina reviews straightaway. Replays suggest that Raina was right! No spike as the ball passes his glove. Looks like the decision has to be overturned, but before that the umpire wants to be sure he's got this right. Yep, not out! Umpire Gould changes his decision to 'one bouncer for the over'"
6.3,"McClenaghan to Raina, 1 wide","length ball o middle, and going down the leg side on this occasion. Wide called by the umpired"
6.2,"McClenaghan to Watson, 1 run","back of a length, offcutter on middle, and defended off the back foot to the off side"
6.1,"McClenaghan to Raina, 1 run","length ball on middle. Angling into his pads, and worked off his pads to the leg side"
5.6,"Malinga to Watson, no run","length ball, on middle, and nudged off his pads to the leg side. Timeout"
5.5,"Malinga to Watson, FOUR runs","back of a length, just outside off, and cut behind square past the fielder at point! Allowing Watson to free his arms, and he doesn't disappoint"
5.5,"Malinga to Watson, 1 wide","back of a length on off, and Watson tries to pull but misses. Ball flies over his head to the keeper. Watson's not happy, he says a few things we can't repeat and the umpire calls it a wide. Ian Bishop apologises on TV for Watson's language. Think Watson wasn't happy with a wide not given in the Bumrah over"
5.4,"Malinga to Watson, SIX runs","swiped! Full, on leg stump, and Watson simply flicks this over backward square for half-a-dozen. Watto spotted that slower ball (120kph) super early"
5.3,"Malinga to Watson, no run","length ball, just outside off, and cut off the back foot to point"
5.2,"Malinga to Watson, FOUR runs","sliced but just past Chahar at point! Solid, diving effort, but the drive still had enough behind that shot to run to the boundary"
5.1,"Malinga to Watson, no run","back of a length, just outside off, and fended off the back foot"
4.6,"Bumrah to Raina, no run",hops back and across to keep out this full delivery. Tight first over from Bumrah
4.5,"Bumrah to Raina, 2 runs",whips this over short square as he walks across. Ishan Kishan was standing right where the ball went and was moved out only a ball earlier to leg gully
4.4,"Bumrah to Watson, 1 run",once again opens the bat face to ease this down to third man
4.3,"Bumrah to Raina, 1 run",glances this fine to fine leg to get off the mark
4.2,"Bumrah to Raina, no run","this is a snorter of a bouncer from Bumrah! Good evening, Mr Raina. He's as usual camping back, expecting this on his ribs and somehow sways out of the way. Terrific gather one handed by de Kock"
4.1,"Bumrah to Watson, 1 run","skids one through on off, steered to third man"
3.6,"Krunal to du Plessis, OUT","this time he's gone! Krunal sees him back away and fires this full and wide. Faf is so far off that he can't reach the ball and de Kock effects an excellent stumping. Rohit is pumped, Krunal is pumped. There's life in the game or what?"
3.5,"Krunal to du Plessis, no run","backs away and cuts, straight to short third man this time. Deceived in flight but went through with the stroke"
3.4,"Krunal to du Plessis, FOUR runs","makes room to open up the off side and slices this between cover and point. Wow, incredible batting this. The decision to follow him by firing it in isn't working for Krunal."
3.3,"Krunal to du Plessis, SIX runs","clean strike, clears long-on! Backed away again, but Krunal went full and this was right into his swinging arc. Lovely, lovely hit."
3.2,"Krunal to du Plessis, FOUR runs","steps out and thumps this over the bowler's head, no chance for mid-on. Watson had to duck for cover as this was drilled!"
3.1,"Krunal to du Plessis, no run","makes room, Krunal follows him, bunted to cover as he's cramped for room"
2.6,"Malinga to du Plessis, 5 runs","another risky run, this time they'll get four more because there's no one backing up. Faf had to put in a dive to beat De Kock's throw from behind the stumps. No one covering that from mid-on. This was another slower ball from Malinga, bunted behind the stumps. Even before Faf looked up, Watto was off, so he had no option but to go. It's all happening!"
2.5,"Malinga to Watson, 1 run","a direct hit at the bowler's end from point and Watson would've been walking back! This was a gentle bunt, waste of a run, loaded with so much risk. Ishan Kishan the fielder. Lucky break for Chennai Super Kings again"
2.4,"Malinga to Watson, no run","beaten again! Backed away to pick the gap behind point, deceived by the slower one. Pressure building."
2.3,"Malinga to Watson, no run","slower and fuller on off, Watson's feet glued to the crease as he defends"
2.2,"Malinga to Watson, no run","bouncer on middle, Watson hops back to keep that out"
2.1,"Malinga to du Plessis, 1 run","length outside off, punched to sweeper cover for an easy single"
1.6,"Krunal to Watson, no run","nicely held back, Watson gets a long way forward and defends"
1.5,"Krunal to Watson, no run",goes right back and across as he defends this flatter delivery back
1.4,"Krunal to Watson, FOUR runs",too full and Watson gets to the pitch and thumps this through extra cover
1.3,"Krunal to Watson, no run",bunts this with the spin to short third man
1.2,"Krunal to Watson, no run",crunched from the crease but hit straight to point
1.1,"Krunal to du Plessis, 1 run"," just eludes Krunal on the followthrough!  Stopped on Faf, who looked to work it to the leg side. Got a leading edge, finger-tips stuff. Lucky break"
0.6,"McClenaghan to Watson, 2 runs",pulled nicely but there's a man strategically placed in front of square - between deep square and deep midwicket - for the shot. Two it will be to round off the first over.
0.5,"McClenaghan to Watson, no run","bunted to point from the crease, this was bowled full and across again"
0.4,"McClenaghan to du Plessis, 1 run","full on the pads, flicked to Malinga at deep backward square leg"
0.3,"McClenaghan to du Plessis, FOUR runs","blitzed! Too full, a half-volley that Faf will put away 99% of the times. Crunched through extra cover. Couldn't have asked for an easier ball for his first runs"
0.2,"McClenaghan to du Plessis, no run","beaten as he looks to flay this on the up through cover. Lovely delivery, done in by the zip."
0.1,"McClenaghan to du Plessis, no run",driven back to mid-on. Hint of late inward movement for Mitch
19.6,"Bravo to Pollard, FOUR runs","slower ball, full outside off, and that's been smoked! Drilled through the covers and Chennai Super Kings 150 to win IPL 2019!"
19.5,"Bravo to Pollard, FOUR runs","full, wide outside off, and this time Pollard manages to free his arms. Smashes a four through the covers, and even manages to pierce the gap between deep extra cover and long off"
19.4,"Bravo to Pollard, 1 run, OUT","yorker, just outside off, and drilled to long off. They need to go for two, and McClenaghan is running to the danger end, but he can't make it back in time. Good news for Mumbai is that Pollard is back on strike"
19.3,"Bravo to Pollard, no run","yorker, but very wide outside off. Pollard lets the ball go despite not moving across, but Umpire Nitin Menon says that's a fair ball! Pollard throws his bat in the air, since he can't believe it"
19.2,"Bravo to Pollard, no run","through to the keeper! Full, slower from Bravo, but wide outside the tramlines. But since Pollard walked across to the ball, umpire Nitin Menon deems that a legal ball"
19.1,"Bravo to Pollard, no run","full, very wide outside off, and hammered past cover to wide long off. Rayudu goes around the boundary to stop the ball, but Pollard opts not to run! They could've taken two, but Pollard was never interested. McClenaghan did try to run though"
18.6,"Chahar to McClenaghan, no run","delightful! Slower ball, short on middle and teasingly over Mitch's bat as he tries to swing to the leg side. Great comeback for Deepak Chahar tonight after getting tonked by de Kock earlier in the evening"
18.5,"Chahar to McClenaghan, no run","length ball, wide outside off, and Mitch pulls off the back foot to midwicket"
18.4,"Chahar to Chahar, OUT","full on middle, and his attempted slog over cover is sliced only to mid off. Pollard hasn't crossed over either"
18.3,"Chahar to Chahar, no run","length ball on middle, and worked away to the leg side"
18.2,"Chahar to Pandya, OUT","yorker on middle, and Hardik can't flick it square. Ball hits his front leg, and Chahar appeals for lbw. Ian Gould raises the finger but Hardik reviews right away! Bat involved? Looks like the bat did not hit the ball, it only hit the ground. No edge according to UltraEdge so far, and replays show that ball would've crashed into leg stump. Big wicket for Chennai."
18.1,"Chahar to Pandya, FOUR runs","back of a length, wide outside off, and  Pandya flat-bats a pull through to the wide long-on boundary! Chahar tries for the slower short ball, but Hardik was up for the challenge. What timing!"
17.6,"Thakur to Pandya, 1 run","low full toss, very wide outside off, and thumped to long on for a single. Hardik keeps strike"
17.5,"Thakur to Pandya, SIX runs","helicopter shot with Dhoni looking on! The audacity! Love it. Full, on off, and Hardik stays really deep in his crease before letting his bottom-hand do the rest. The crowd roars!"
17.4,"Thakur to Pollard, 1 run","attempted yorker, but ends up as a low full toss. Drills a drive to long on"
17.3,"Thakur to Pollard, SIX runs","rubbing salt in Shardul's wounds! Back of a length on off, and Pollard rocks back deep before punishing Shardul for a six. Thumps a pull over cow corner"
17.2,"Thakur to Pandya, 1 run","up and over off the back foot, and Raina is getting under it from cover, but he's dropped it! Chinna Thala fails to hold on. How rare is that? This was a short ball from Shardul, and Hardik tried to lift it over cover, but alas"
17.1,"Thakur to Pollard, 1 run","full, on off, and driven down the ground to long on. Gives Hardik the strike"
16.6,"Tahir to Pollard, 1 run","length ball outside off again, and he pulls once more off the back foot. No real timing this time. Through to the fielder at cow corner"
16.5,"Tahir to Pollard, SIX runs","going, going, gone! Half-tracker from Tahir, sliding into leg stump and Pollard rocks back before pulling this over backward square. Massive"
16.4,"Tahir to Pollard, no run","full on off, and turning away after hitting the deck. Tapped off the front foot to cover for a quick run"
16.3,"Tahir to Pandya, 1 run","yorker on off, and Pandya does well to dig this away. Bunted back to Tahir"
16.2,"Tahir to Pollard, 1 run","slider, length ball outside off and zipping through. Tries to flat-bat this over long on, but doesn't find the connection. On the bounce to the fielder in the deep"
16.1,"Tahir to Pandya, 1 run","half-tracker, just outside off, and he offers the bat's full face to play this down to long on"
15.6,"Jadeja to Pandya, 1 run","faster one again. Length ball angling into his body, and drilled to long on once more"
15.5,"Jadeja to Pollard, 1 run","length ball, wide outside off. Punched back to long on"
15.4,"Jadeja to Pollard, FOUR runs","hammered over cover, but lands just short of the Chahar in the deep! Terrific commitment from Chahar to attack the ball, but the ball drops just in front of his dive and bounces away to the boundary. This was a fast ball outside off and Pollard slapped it over the infield"
15.3,"Jadeja to Pandya, 1 run","wide, length outside off, and cut of the back foot to the man in the deep. Just a single for Pandya"
15.2,"Jadeja to Pandya, no run","full on middle, and he takes a big stride forward to block. Ball rolls back to Jadeja"
15.1,"Jadeja to Pollard, 1 run","around the wicket, length ball outside off, and thumped off the back foot to long on"
14.6,"Tahir to Pollard, 1 run","skids one through on middle and leg, punches to deep midwicket"
14.5,"Tahir to Pollard, no run",lunges forward and defends
14.4,"Tahir to Ishan, OUT","backs away to hoick, top-edges the slog and point takes a dolly. Imran Tahir is off again. This is very poor application from Kishan. Looked edgy all evening and has succumbed to the man who has dismissed him four times in four matches earlier to this."
14.3,"Tahir to Pollard, 1 run",works this down to long-on
14.2,"Tahir to Pollard, no run",fired full to hit him on the pad as he looks to work it to the leg side
14.1,"Tahir to Pollard, SIX runs",goes straight and clobbers this into the sightscreen. There was a straightish long-on in place for precisely such a shot but he was happy to take him on. What muscle
13.6,"Jadeja to Pollard, 1 run","flatter one on middle and leg, he works this wide of midwicket for an easy single"
13.5,"Jadeja to Ishan, 1 run",whips this down to long-on again
13.4,"Jadeja to Pollard, 1 run",tucks this gently into the leg side for a quick single
13.3,"Jadeja to Ishan, 1 run",eases this down to long-on
13.2,"Jadeja to Ishan, no run",skids through to beat Kishan's edge as he looks to late cut
13.1,"Jadeja to Ishan, no run","sharp turn from length outside off, Kishan defends"
12.6,"Thakur to Pollard, no run","superb short ball again, just outside off, Pollard gets out of the way."
12.5,"Thakur to Pollard, no run","excellent short ball, rising in towards the body, Pollard hit on the ribcage as he walks down the pitch to meet it"
12.4,"Thakur to Ishan, 1 run",rolls off the pad to square leg as they scamper a leg bye
12.3,"Thakur to Krunal, OUT","beats him for pace and takes an excellent return catch as he hares across to grab it! Shardul, you beauty. Krunal, like de Kock, is beaten for pace as he looks to pull this skiddy delivery but gets it high on the bat. Lobs so high that Shardul has enough time to cover at least 20 yards but in trying to grab it the ball bobbles out. Somehow he still manages to retain his composure and take it on the second attempt. Heroic from Shardul as he tumbles over. What. A. Catch. No repeat of Krunal's heroics at the same venue where he delivered Mumbai the title in 2017."
12.2,"Thakur to Krunal, 2 runs","driven on the up into the gap at sweeper cover, Chahar cuts this off as he comes around"
12.1,"Thakur to Krunal, 2 runs",punched uppishly into the gap behind point
11.6,"Tahir to Krunal, 1 run",gentle dab into the gap at point for an easy single
11.5,"Tahir to Krunal, no run","nicely tossed up, Krunal is well forward as he smothers this"
11.4,"Tahir to Krunal, 2 runs","skids one across, Krunal plays this delicately past slip. Bravo gives it a good chase from short third man to pull it back in"
11.3,"Tahir to Krunal, no run",lunges forward and turns this gently into the leg side
11.2,"Tahir to Yadav, OUT","chopped on and Imran beings his victory run! The length does Surya in, looking to dab this past short third man but is cramped for room. Thick inside edge back onto the stumps. There wasn't much turn this time.  Tahir equals Rabada for most scalps this season - 25 "
11.1,"Tahir to Yadav, 2 runs",works this off a length into the gap at wide long-on. Lazy work in the deep. Should've been no more than a single.
10.6,"Harbhajan to Ishan, FOUR runs",picks this full toss into the gap at wide long-on and deep midwicket. Lovely wrist work from Ishan
10.5,"Harbhajan to Yadav, 1 run","fired full outside off, squeezes this to deep point"
10.4,"Harbhajan to Yadav, no run",pushes this length ball to short midwicket
10.3,"Harbhajan to Yadav, FOUR runs","goes through with the shot and just eludes Jadeja at deep midwicket. magnificent effort. Gets away with the release shot does Surya. Didn't get to the pitch of this tossed up delivery but went through with that whip. Top, top effort from Jaddu, running around the ropes."
10.2,"Harbhajan to Ishan, 1 run","brings out the switch hit but toe-ends this to point, they squeeze in a single"
10.1,"Harbhajan to Ishan, no run","sharp turn off a length, bunted to point"
9.6,"Bravo to Ishan, 1 run","full, on off and angling away. Muscled to long off for a walking single"
9.5,"Bravo to Ishan, FOUR runs","slower ball, but it's a full toss on leg stump, and Kishan swats this away behind square! Adjusts well to meet this ball late, and slog sweeps this for four"
9.4,"Bravo to Yadav, 1 run","full on off, and he walks across to the off side before driving down the ground. Mid-on intercepts"
9.3,"Bravo to Yadav, no run","back of a length, just outside off, and he goes onto the back foot to block. Ball rolls back to DJ"
9.2,"Bravo to Ishan, 1 run","through his shot early but nobody's there at mid-off. Length ball on middle, and Kishan mistimes his drive. Through to long on"
9.2,"Bravo to Ishan, 1 wide","back of a length, just outside leg stump, and soars over Kishan's head. MSD does well to jump and stop the ball with one hand"
9.1,"Bravo to Ishan, FOUR runs","welcomed with a four! Full, on Kishan's toes, and he clears his front leg before hammering a shot over mid on"
8.6,"Harbhajan to Ishan, 1 run","fuller, on middle, and thumped down the ground to long on for a single. Timeout"
8.5,"Harbhajan to Ishan, no run","length ball, wide outside off, and cut away to point"
8.4,"Harbhajan to Yadav, 1 run","back of a length, just outside off, and punched off the back foot to long on. They walk across for one"
8.3,"Harbhajan to Ishan, 1 run","length ball, just outside off, and slapped away to deep extra cover for a single"
8.2,"Harbhajan to Ishan, no run","back of a length, just outside off, and he tries to punch. Spliced to Raina at cover, ball lands just in front"
8.2,"Harbhajan to Ishan, 1 wide","length ball very wide outside off, and turning further away. Kishan stretches forward before letting it go"
8.1,"Harbhajan to Yadav, 1 run","swept but only to the fielder at deep midwicket. Full on off, and Suryakumar goes across the line to try and meet the ball"
7.6,"Bravo to Ishan, no run","length ball, hard Test-match length. Lands on middle, and meets Kishan near his chest. Tapped back off the back foot"
7.5,"Bravo to Ishan, no run","length ball on middle, and defended off the back foot to point. Protection there"
7.4,"Bravo to Yadav, 1 run","full on leg, and he offers the bat's straight face to drive down the ground. Long on runs to his left to clean up"
7.3,"Bravo to Ishan, 1 run","length ball, angling away from Kishan. He opens the bat's face and steers it down to third man"
7.2,"Bravo to Yadav, 1 run","chipped but lands in no man's land. Fullish on leg, and Suryakumar's attempted flick takes a leading edge towards mid on"
7.1,"Bravo to Yadav, no run","slower ball, offcutter to begin proceedings. Length ball, just outside off, and Suryakumar mistimes a front-foot drive to mid-off"
6.6,"Harbhajan to Yadav, 1 run",quicker one to end the over. Lands on off and skids into his pads. Worked away behind square off the back foot
6.5,"Harbhajan to Yadav, no run","length ball outside off, and nudged away with the offspin to midwicket"
6.4,"Harbhajan to Ishan, 1 run","length ball, on off, and punched past the non-striker to long on. Played off the back foot this time"
6.3,"Harbhajan to Yadav, 1 run","length ball just outside off, and turning in. He goes deep inside his crease to block"
6.2,"Harbhajan to Ishan, 1 run","full, on off, and defended towards the off side. They scamper across for one after a bit of hesitation"
6.1,"Harbhajan to Yadav, 1 run","full on off, and turning into his body. Nudged off his pads to square leg for a walking single"
5.6,"Chahar to Ishan, no run","sneaks past the outside edge! Length ball, just outside off, and angling away slightly. Kishan tentatively presses forward, but he can't get the connection"
5.5,"Chahar to Ishan, no run","inside edge onto his pads. Fullish on off, and Kishan presses forward to defend. Takes the inside-half of his bat and hits him near the gut"
5.4,"Chahar to Ishan, no run","full on off, and he check-drives towards the off side. Stopped by the fielder at cover running to his left"
5.3,"Chahar to Ishan, no run","length ball on off, and angling further away. Left alone by the new batsman"
5.2,"Chahar to Rohit Sharma, OUT","slower ball, and edged! MSD dives forward to complete the catch. Knuckleball just outside off, and Rohit tries to drive straight, but he's through his shot too early and Dhoni was not going to make any mistake. Terrific delivery from Chahar"
5.1,"Chahar to Rohit Sharma, no run","overpitched, on off, and struck straight back to the bowler. He bends to intercept on his followthrough"
4.6,"Thakur to Yadav, no run","nice and full outside off, defended back"
4.5,"Thakur to de Kock, OUT","excellent comeback! Shardul has his revenge this time and he's done him in with a real quick delivery. Bounced on middle to cramp him for room, de Kock late on this, gets it on the glove and lobs behind to Dhoni who takes a dolly. Shardul gives de Kock a send-off and Hyderabad roars."
4.4,"Thakur to de Kock, SIX runs","slapped! This is gully cricket style. Fab shot. Saw him drop shot, reached out and was on one leg as he hammered this in front of square. Disdainfully done"
4.3,"Thakur to de Kock, no run",beaten as he bowls this full and wide as De Kock makes room to scythe that behind point
