over,short_text,long_text
10.2,"Ashwin to Yadav, no run","carrom ball at a length on leg stump, looks for the flick, gets a leading edge to extra cover"
10.1,"Ashwin to Rohit Sharma, 1 run",good length and sticking in the pitch outside off. Stays back and clips it to long-on as that stops on him
9.6,"Axar Patel to Rohit Sharma, 1 run","good length and into leg stump, flicked to short fine's left"
9.5,"Axar Patel to Yadav, 1 run","length outside off, punched to sweeper off the back foot"
9.4,"Axar Patel to Yadav, no run",good length and into the stumps. Looks to drive and gets an inside edge onto pad
9.3,"Axar Patel to Rohit Sharma, 1 run","short of a length outside off, punched to sweeper cover"
9.2,"Axar Patel to Rohit Sharma, FOUR runs","paddled to the fine leg boundary. Good length and sliding into the stumps. Gets the front leg into the off side, back knee on the floor, and helps this along"
9.1,"Axar Patel to Rohit Sharma, no run",beaten. Length and sliding in from outside off. Rohit opens the face and looks to chop behind square on the off side
8.6,"Dubey to Rohit Sharma, 1 run","short of a length at the stumps, onto the back foot to clip this to deep square"
8.5,"Dubey to Rohit Sharma, SIX runs","sent over long-on with the angle. With the turn, in fact. He's picked the googly. It's full and turning into middle stump. Has the reach to get to that and then a satisfying swing to hit that high and far enough"
8.4,"Dubey to Rohit Sharma, no run",good length and sliding on at middle stump. Defended on the front foot
8.3,"Dubey to Rohit Sharma, SIX runs",pumped over long-off. Strays a little too full. Rohit gets the front leg out and down the pitch. Keeps some swinging room and drills it straight
8.2,"Dubey to Yadav, 1 run","tossed up at off stump, gets to the pitch and whips firmly to long-on"
8.1,"Dubey to Yadav, no run",short of a length and a slider outside off. Beaten on the cut
7.6,"Axar Patel to Rohit Sharma, no run",good length and sliding onto middle stump. Looks the open the face on that and is hurried. Defends into the covers
7.5,"Axar Patel to Yadav, 1 run","short of a length and into the stumps, punched to long-on off the back foot"
7.4,"Axar Patel to Yadav, no run","short of a length at off stump, backs into the leg side and can't get the cut past point"
7.3,"Axar Patel to Yadav, no run","good length on off stump, pushed to extra cover"
7.2,"Axar Patel to Rohit Sharma, 1 run","short of a length outside off, punched to long-off off the back foot"
7.1,"Axar Patel to Rohit Sharma, no run","short of a length at off stump, defended off the back foot"
6.6,"Dubey to Rohit Sharma, 1 run","full on off stump, driven along the ground to long-off"
6.5,"Dubey to Rohit Sharma, no run","googly at a length on off stump, blocked on the front foot"
6.4,"Dubey to Yadav, 1 run","full on leg stump, driven along the ground to long-on"
6.3,"Dubey to Rohit Sharma, 1 run","good length at off stump, gets forward and drives past the bowler to long-off"
6.2,"Dubey to Rohit Sharma, no run","googly, sliding onto leg stump stump. Defended watchfully off the back foot"
6.1,"Dubey to Yadav, 1 run","full at off stump, looks to drive through cover. It slides along to long-on off the inside half"
5.6,"Axar Patel to Yadav, 1 run","short of a length outside off, punched uppishly to long-off"
5.5,"Axar Patel to Rohit Sharma, 1 run","short of a length at middle stump, nudged to midwicket's right off the back foot"
5.4,"Axar Patel to Yadav, 1 run","good length at off stump, punched to long-off on the back foot"
5.3,"Axar Patel to Yadav, no run",good length and holding in the pitch as he looks to punch this to long-off. Axar cuts it off
5.2,"Axar Patel to Yadav, no run","good length and into the corridor, punched straight to extra cover off the back foot"
5.1,"Axar Patel to Yadav, no run","good length and just outside off, punched to extra cover's right"
4.6,"Stoinis to Rohit Sharma, 2 runs","short and just outside off, hangs leg side of that and chops to third man's right. Rabada with a big lunge and slide to his right"
4.5,"Stoinis to Yadav, 1 run","short of a length just outside off, punched to mid-off on the up"
4.4,"Stoinis to Yadav, no run","good length and just outside off, defended into the covers"
4.3,"Stoinis to Yadav, SIX runs",casually lofted over the fine leg boundary. Short and at middle stump. Shuffles a touch and gets inside the line. Waits on it and guides that with the pace. First tier too
4.2,"Stoinis to Yadav, FOUR runs","back to business for Mumbai. Short and wide outside off, weight quickly onto the front foot and slapped to cover's right"
4.1,"Stoinis to de Kock, OUT","taken behind! Stoinis, golden duck earlier today, gets a wicket off his first ball. Short of a length, cross seam, in the corridor. Wants to cut behind square and is cramped on it a touch. Gets a thick edge to Pant's left and it is held. Stoinis is punching just about anything he can find - the air, his own palm. Get out of the way. He is pumped"
3.6,"Nortje to Rohit Sharma, SIX runs","the trademark pull. Top drawer and into the first tier. Similar sort of delivery that he had been defending earlier in the over. It's a matter of inches. This is a touch wider of the corridor and that's enough. Onto the front foot, a clean pick up with an angled bat coming from under it. Regal, regal stuff"
3.5,"Nortje to Rohit Sharma, no run","good length and just outside off, feet rooted as he looks to squeeze this through the infield on the off side. Comes off the inside part of the bat and ends up at mid-on"
3.4,"Nortje to Rohit Sharma, FOUR runs",swiped with the pace and angle to long leg. They'll check if that's hit the padding on the full. This is short of a length and onto his thigh. Stands tall and rotates the upper body to help this along. Fine leg is inside. It's hit the padding on the bounce
3.3,"Nortje to Rohit Sharma, no run","short of a length and in at off stump, 149kph. Defended back to the bowler"
3.2,"Nortje to Rohit Sharma, no run",short of a length and into the corridor. Defended down the pitch
3.1,"Nortje to Rohit Sharma, 2 runs",good length and onto the pads at 147kph. Nice movement of the feet to get deep in the crease and clips languidly to deep square's left
2.6,"Ashwin to de Kock, FOUR runs","pulled over midwicket. Short of a length and into middle stump, just enough room for him to go with the angle and lift this pull from deep in the crease"
2.5,"Ashwin to de Kock, no run",good length and sliding onto off stump. Chopped to first slip's left
2.4,"Ashwin to Rohit Sharma, 1 run","short of a length outside off, shuffles and flicks to deep midwicket"
2.3,"Ashwin to Rohit Sharma, no run","good length, a knuckle ball outside off. Defended into the covers on the front foot"
2.2,"Ashwin to de Kock, 1 run","good length and into middle stump, gets deep in the crease and punches to mid-on"
2.1,"Ashwin to Rohit Sharma, 1 run","good length and into leg stump, gets deep in the crease and clips to deep square off the back foot"
1.6,"Rabada to de Kock, FOUR runs","slashed over point this time. Good length and wide outside off, reaches out at that and manages to get the low part of the bat on it. A lofted square drive that no one can cut off"
1.5,"Rabada to de Kock, SIX runs","connects on one at last! A lot of leg-side swinging later, QDK has nailed one over midwicket. It's picked up from outside off. A length ball and a sweet, sweet swing across the line"
1.4,"Rabada to de Kock, no run",good length and shaped into the pads. Looks for the slog and is struck on the thigh again
1.3,"Rabada to de Kock, 4 leg byes","floats past the keeper. Short of a length and into the pads. Beaten on the attempted swipe behind square, but that's off the thigh guard and between keeper and short fine"
1.2,"Rabada to de Kock, FOUR runs","short of a length and just outside off. Arches on that a touch after getting on the front foot, then slaps that over extra cover"
1.1,"Rabada to de Kock, no run","good length and just outside off. Looks for big slog, mistimed out to a wide mid-on"
0.6,"Ashwin to de Kock, 1 run","short of a length and into leg stump, clipped to deep square off the back foot"
0.5,"Ashwin to de Kock, no run",good length and sliding onto middle stump. Defended down the pitch
0.4,"Ashwin to Rohit Sharma, 1 run","good length on middle stump, flicked down to long-on with the turn"
0.3,"Ashwin to Rohit Sharma, SIX runs",just clears long-on. Good length and dipping on him quickly outside off. Shuffles and not to the pitch of this. Ends up dragging it with the turn and long-on's dived backwards and to his left but that was beyond him
0.2,"Ashwin to Rohit Sharma, no run","tossed up outside off, leans in and clips to midwicket with the turn"
0.1,"Ashwin to Rohit Sharma, no run","good length outside off, blocked on the front foot"
19.6,"Coulter-Nile to Iyer, 1 run, OUT",run out at the non-striker's end. Full and into off stump. Shuffles and looks for the flick .Leading edge trickles out to long-off's right and Rabada calls for the sacrifical second. Doesn't make it
19.5,"Coulter-Nile to Iyer, SIX runs","gets this one away. Slower short ball outside off, waits on it deep in the crease this timeand slaps it on the rise, flat and to deep midwicket's left"
19.4,"Coulter-Nile to Iyer, no run","slower short ball outside off, looks to power that off the back foot over deep midwicket but is beaten by the variation"
19.3,"Coulter-Nile to Iyer, no run","yorker at off stump, clears the front leg and slices it straight to backward point"
19.2,"Coulter-Nile to Axar Patel, OUT",dragged straight to deep midwicket. Slower short ball outside off. Nothing on that for the pull. Axar invited to make all the power on his shot and he can only hit it to Anukul who is a few yards inside
19.1,"Coulter-Nile to Iyer, 1 run",slower short ball outisde off. Shuffles and drags a laboured pull down to long-on
18.6,"Bumrah to Axar Patel, no run","another full toss at the stumps, backs away for the drive and can only get it as far as extra cover"
18.5,"Bumrah to Axar Patel, 2 runs","low full toss on middle stump, punched to long-on's left"
18.4,"Bumrah to Iyer, 1 leg bye",big appeal for lbw. Mumbai review it. He's looking to whip a length ball over square leg from outside off. It's a slower one and he's shuffles a long way for this. No bat on it. On-field umpire reckons that's hit him outside off and it stays umpire's call on that.
18.3,"Bumrah to Axar Patel, 1 run","low full toss at off stump, can only pat that down to long-on"
18.2,"Bumrah to Iyer, 1 run","yorekr at middle stump, shuffles and flicks out to deep square"
18.1,"Bumrah to Axar Patel, 1 run","low full toss on middle stump, driven to long-on's right"
17.6,"Boult to Axar Patel, 1 run","short of a length at middle stump, steps out and has no room for the pull. Drags it down to long-on"
17.5,"Boult to Axar Patel, no run",short of a length and cramped at the body. Hurriedly pushed down the pitch
17.4,"Boult to Axar Patel, FOUR runs",slashed wide of third man. Short and wide outside off. Stays tall on this and gives it a big whip. NCN is back at third man this time and his slide to the left isn't enough
17.3,"Boult to Axar Patel, no run","good length and in at off stump, defended down the pitch"
17.2,"Boult to Hetmyer, OUT",steered straight to short third. It was a slower short one outside off. He shapes to give that a spank. Is forced to rethink that and try to stab over short third man. There's just no pace on it for him to manage that. Simple catch for the fielder
17.1,"Boult to Iyer, 1 run","slower short ball outside off, pulled to deep midwicket on the bounce"
16.6,"Bumrah to Iyer, 1 run","low full toss on off stump, punched straight to mid-off"
16.5,"Bumrah to Iyer, FOUR runs","slashed over point. Slower ball, short of a length and rising in at the body. Shuffles into the leg side for the room and deliberately chops this over that fielder"
16.4,"Bumrah to Iyer, 2 runs","short of a length outside off, shuffles and jabs that to third man's right to bring up his fifty. Important knock from Delhi's captain. He's seen them through some turbulence and set them up for a big flourish"
16.3,"Bumrah to Iyer, no run","slower ball, short of a length and into off stump. Looks to slide that down to third man but gets it to the keeper"
16.2,"Bumrah to Iyer, no run","good length and into middle stump, clipped to midwicket's right"
16.1,"Bumrah to Iyer, FOUR runs",hurriedly slashed wide of mid-off. Short of a length outside off. Almost looked like he was shaping for the cut but had to adjust because it came on slowly. Slaps it to mid-off's left
15.6,"Yadav to Hetmyer, FOUR runs","oh sweet! Marginally full from Yadav, at off stump. Gets to the pitch of that and goes inside-out with the turn, a chip to long-off's right"
15.5,"Yadav to Iyer, 1 run","full and just outside off, drilled firmly to long-off's left"
15.4,"Yadav to Hetmyer, 1 run","short of a length and into leg stump, nudged through midwicket off the back foot"
15.3,"Yadav to Hetmyer, no run",big turn and beaten again. Short of a length and gripping and turning and rising as Hetmyer goes on the back foot this time and swishes hurriedly
15.2,"Yadav to Hetmyer, no run","turns past the outside edge. Yadav around the wicket, lands it on a length outside off and turns it big as Hetmyer looks to defend"
15.1,"Yadav to Iyer, 1 run","short and just outside off, cut to sweeper cover"
14.6,"Coulter-Nile to Pant, OUT","guided straight to fine leg. The only explanation I can think of is that Pant has probably not seen the field change, but that sounds implausible for a batsman in the IPL. It's a slower short ball up at his ribs. He swivels and hooks uppishly, and deliberately. That's four if short fine is in. It's a simple catch when he's back. Mumbai have the breakthrough they desperately wanted"
14.5,"Coulter-Nile to Pant, no run","flat-batted straight to mid-off. Short of a length outside off, steps out and is cramped on the room by this short of a length delivery"
14.4,"Coulter-Nile to Pant, FOUR runs","top edge over the keeper. Goes regular pace for this one. Short and into Pant's left shoulder. He's woefully late on the attempted hook, but he has four"
14.3,"Coulter-Nile to Pant, FOUR runs","gets it over short fine this time and brings up fifty. His first of the season. Rishabh Pant bursts into life in the final. A slower length ball from NCN, around the wicket and slanted in at middle and leg. Waits on that, gets on his back knee and ramps it"
14.2,"Coulter-Nile to Pant, no run","looks to nudge that cheekily past short fine. But he finds the fielder. Length ball at middle stump, uses the angle of NCN from around the wicket and has a short-arm whip at this from middle stump"
14.2,"Coulter-Nile to Pant, 1 wide","short and down leg side, lets that one go"
14.1,"Coulter-Nile to Iyer, 1 run",good length and into middle stump. Stays tall and punches to long-on
13.6,"Krunal to Pant, FOUR runs","shoveled past short fine! Incredible shot. It's a yorker at leg stump, and he's got some stunning bat speed on this to stay upright but still get this behind the wicket. He's got it right under his eyes, and it's pretty full. That takes some doing. Brilliant skill"
13.5,"Krunal to Iyer, 1 run","good length on leg stump, pushed to deep midwicket off the back foot"
13.4,"Krunal to Iyer, no run","short of a length and turning away outside off, through his cut too soon as this grips in the pitch"
13.3,"Krunal to Pant, 1 run","full and wide outside off, reaches out and drives along the floor to deep extra cover"
13.2,"Krunal to Iyer, 1 run","short of a length and sliding at the stumps, backs away and punches to sweeper cover"
13.1,"Krunal to Pant, 1 run","low full toss at off stump, punched down to long-on"
13.1,"Krunal to Pant, 1 wide","yorker is very wide outside off, left alone"
12.6,"Coulter-Nile to Pant, 1 run","short and into the body, mistimed pull to deep backward square's right"
12.5,"Coulter-Nile to Pant, no run","yorker length outside off, driven off the toe-end to mid-off"
12.4,"Coulter-Nile to Iyer, 1 run","slower short ball, really sticks in the pitch and comes in at Iyer's body as he backs away. Only gets an under-edge on his pull, down to long-on"
12.3,"Coulter-Nile to Pant, 1 run",good length and sliding on to middle stump. Driven to long-on with the angle
12.2,"Coulter-Nile to Iyer, 1 run","length and looks like a slower one again. Just outside off, punched to long-on"
12.1,"Coulter-Nile to Pant, 1 run","cutter at a length outside off, steps out and punches to sweeper cover"
11.6,"Pollard to Iyer, SIX runs","slogs it over wide long-on! Pollard seemed to be getting away with a quiet over. The extra ball costs him in the end. It's at a length, spun into Iyer. He lines it up and gives it a right whack"
11.5,"Pollard to Pant, 1 run","slower ball at a length on middle stump, leans in and flicks to deep midwicket's right"
11.4,"Pollard to Pant, no run","short and climbing outside off again, past his attempted cut"
11.3,"Pollard to Pant, no run",beaten. Short of a length and cutting away in the corridor. Looks to slash through cover but that climbs over the bat
11.2,"Pollard to Pant, FOUR runs","slashed past point. Short of a length cutter outside off. Gets on the front foot and gets this between point and short third man. Pollard is around the wicket, but there is a lot of room"
11.1,"Pollard to Iyer, 1 run",short of a length and just outside off. Punched to long-off on the back foot
11.1,"Pollard to Iyer, 1 wide",full and spinning down leg. Beaten on the flick
10.6,"Bumrah to Iyer, 1 run","short of fine third man. Short and angled into Iyer, who is arching into the leg side for the ramp. A third man is put in there exactly for that. But it doesn't get close"
10.5,"Bumrah to Iyer, 2 runs",short and into the stomach. Waits on it and swipes with the angle to deep square's right. He was waiting on the back foot for this
10.4,"Bumrah to Iyer, no run",short and into the corridor. Nicely on top of that to defend to point
10.3,"Bumrah to Pant, 1 run","low full toss at off stump, punched to long-on with the angle"
10.2,"Bumrah to Iyer, 1 run","short of a length on leg stump, whipped to deep square off the back foot"
10.1,"Bumrah to Pant, 1 run",short of a length into the pads. Nudges to fine leg with the angle
9.6,"Krunal to Pant, 1 run","quicker yorker at off stump. Closes the face to jab that into midwicket, gets a thick edge towards short third"
9.5,"Krunal to Pant, SIX runs",slogged wayyyy over deep midwicket. Another sweet sounding hit from Pant. This is tossed up at a length and outside off. He gets down for the sweep and it slides on nicely. Beautiful swing through that ball with one knee down
9.4,"Krunal to Iyer, 1 run","good length on off stump, whips to deep midwicket off the back foot"
9.3,"Krunal to Pant, 1 run","oh well bowled. Keeps it slow, dipping at a leg stump line this time. Steps out and is beaten in flight. Swipes it out to deep square"
9.2,"Krunal to Pant, SIX runs","steps out and crunches that into the sightscreen. Might be the last time we see Krunal toss it up tonight, because that has been given a serious beating. On an off stump line and Pant is quickly down to the pitch of it. Drills it flat and over the bowler's head"
9.1,"Krunal to Iyer, 1 run","full on leg stump, driven firmly to long-on"
8.6,"Yadav to Pant, 2 runs","good length and into leg stump, steps out and dabs it expertly to deep midwicket's right to return for the second"
8.5,"Yadav to Pant, 2 runs",good length and into leg stump. Steps out and whips to deep backward square's right
8.4,"Yadav to Iyer, 1 run",good length and turning into off stump. Shuffles and clips to deep square
8.3,"Yadav to Pant, 1 run","short of a length outside off, steps out and chops to sweeper cover"
8.2,"Yadav to Iyer, 1 run","good length outside off, driven on the up to long-off"
8.1,"Yadav to Pant, 1 run",good length and sliding in at middle. Steps out and looks to force it down to long-off. Off the inside half and trickles towards long-on
7.6,"Krunal to Pant, 1 run","good length on leg stump, swept to deep midwicket's left"
7.5,"Krunal to Iyer, 1 run","good length on off stump, driven with the turn to long-off"
7.4,"Krunal to Iyer, no run",good length and tight at middle stump. Defended back down the pitch
7.3,"Krunal to Iyer, 2 runs",good length and gripping to turn away outside off. Gets back and turns it through vacant square leg with a closed face
7.2,"Krunal to Iyer, no run","short of a length outside off, chopped on the up to backward point"
7.1,"Krunal to Pant, 1 run",good length and slow at leg stump. Gets forward and flicks to deep square
6.6,"Yadav to Iyer, no run","beaten on the improv ramp. Reverse ramp. He wanted to go fine leg, but this length ball slid on wide outside off and he had to go the other way"
6.5,"Yadav to Pant, 1 run","full on middle stump, driven to long-on"
6.4,"Yadav to Pant, no run","good length on off stump, defended to cover"
6.3,"Yadav to Pant, 2 runs","short of a length and into leg stump. Deep in the crease to glance that to long leg, where NCN misfields and allows a second"
6.2,"Yadav to Pant, 2 runs","full outside off, driven to extra cover's right with the turn. Long-off cleans up"
6.1,"Yadav to Pant, no run","good length and into off stump, can't get his watchful punch past extra cover for the single at long-off"
5.6,"Coulter-Nile to Iyer, no run",length and into leg stump. Runs into the leg side to create some room but is forced to jab that into the covers as it cramps into him
5.5,"Coulter-Nile to Iyer, FOUR runs",good length and into the thigh. Stands tall and tickles that fine
5.4,"Coulter-Nile to Pant, 1 run","short of a length and just outside off, chopped to third man"
5.3,"Coulter-Nile to Iyer, 1 run","nearly plucks a stunner at cover! Iyer is fighting fire with fire, and at the moment he's just about surviving. Ishan Kishan drops a difficult catch to his right. Short of a length and just outside off, backs into the leg side and gives that a might slap on the rise. It's flown to Kishan's right at cover. High to his right. He's done well to time that leap to his right and get two hands to it. Perhaps one he would have taken with his gloves on. Too difficult to hope to hold onto that this time"
5.2,"Coulter-Nile to Iyer, no run","short of a length outside off, chopped straight to cover"
5.1,"Coulter-Nile to Iyer, no run","short of a length and just outside off, punched to extra cover off the back foot"
4.6,"Boult to Iyer, 1 run","awkward fend and safe because square leg is back. Can't accuse Iyer of being in control so far, but he's still there. This short ball is up at his crest. He's caught on the front foot, which is eventually raised after his weight falls backwards and he hooks half-heartedly from under the ball"
4.5,"Boult to Iyer, FOUR runs",aerial again but dipping away from the diving extra cover. It's lovely timing on this. Short of a length and climbing in the corridor again. Gets on this toes and punches from under his eyes. It's quickly into the boundary
4.4,"Boult to Iyer, no run","short of a length at middle stump, rises on top of that and defends into the leg side"
4.3,"Boult to Iyer, no run","beaten. Shuffling, dancing, skipping, slashing. Short of a length ball outside off and Iyer has to play the cut backing away after all that. It's past him quickly"
4.2,"Boult to Iyer, FOUR runs",aerial but between extra and mid-off. Good length and climbing in the corridor. Drives on the up with a half-stride. Not fully in control of that either
4.1,"Boult to Pant, 1 run","good length and into off stump, front leg across and patted to mid-on"
3.6,"Yadav to Pant, 1 run","good length and into middle stump, leans in and jabs it to mid-on with the angle"
3.5,"Yadav to Pant, 2 runs",short of a length and into middle stump. Gets deep in the crease and whips this to deep square's right
3.4,"Yadav to Pant, no run","good length at off stump, defended down the pitch"
3.3,"Yadav to S Dhawan, OUT","knocks off stump! They brought him in for the left-handers, and three balls in, he's got their best one this season. It's at a good length, around a middle stump line. He's given it some air and got a bit of grip from the surface. Dhawan is down and playing the slog sweep pretty early. And he's through the shot before the ball arrives. Some turn away and tonks the stumps"
3.2,"Yadav to Iyer, 1 run",good length and turning in from just outside off. Defended to cover off the front foot
3.1,"Yadav to S Dhawan, 1 run","good length at off stump, looks to drive. Big gap between bat and pad as he looks to drive through cover. Slides on and gets the inside half of the bat"
2.6,"Boult to Iyer, no run","leading edge short of the bowler. Bouncy, bouncy. Short of a length ball is up at Iyer's ribs. He's tried to get on top of that and close the face on it for the single to fine leg. He's done it too soon but he survives"
2.5,"Boult to Iyer, FOUR runs","edged over keeper and slip. Whew, adventurous shot to say the least. Not in control of that. It's a short ball angled wide outside off. Rises sharply and he chases that to try and steer it to third man. No chance he's getting on top of that with this bounce"
2.4,"Boult to Rahane, OUT","there's a sound and it's given! Rahane is caught down leg side. Good length, not a lot of movement on this. Some movement in Rahane's feet though, a little shuffle towards middle stump. He's tried to flick from there as the ball slides wide of him down leg side. It's thin edge, a faint sound, followed by thunderous roars from the fielders"
2.3,"Boult to S Dhawan, 1 run","good length and just outside off, dropped into the covers with soft hands"
2.2,"Boult to S Dhawan, no run",good length and into the pads. Hangs back for the glance but cops it on the pad. QDK saves to his right
2.1,"Boult to S Dhawan, FOUR runs",slashed over cover. Runs down at this length ball that's shaped away from him. Has judged it perfectly. Has enough room to swing from under that
1.6,"Bumrah to Rahane, no run",edge onto body and dead before the keeper. Length ball outside off and he had a stab at that on the front foot
1.5,"Bumrah to S Dhawan, 1 run","big inswinger that Dhawan has survived this time! Nailed him with a yorker last match. This one is marginally shorter, more driving length. Into leg stump and he's scrambing, both feet sliding around the crease as he flicks onto pad and Rahane steals a run from the keeper"
1.4,"Bumrah to S Dhawan, no run","short of a length and across the corridor, past him quickly as he shapes to defend"
1.3,"Bumrah to S Dhawan, FOUR runs",just clears QDK! Short of a length and getting steep in the corridor. Dhawan is looking to get on top of that and guide that towards third an with the bat face pointed down. It takes the high part of the outside edge and is past the keeper
1.2,"Bumrah to S Dhawan, no run",good length and into of stump. Deep in the crease to defend that into the covers
1.1,"Bumrah to Rahane, 1 run",short of a length and wide outside off. Watchfully steers that to third man's right
