match_no,batting_team,batting_side,overs,runs,"bowler_to_batsman, runs",commentary
1,AFG,2,5.3,4,"C Karunaratne to Hazratullah Zazai, FOUR runs","wristy! Full ball on off and angling across slightly. Zazai reaches out and plays a bit of a scoopy drive over cover. Teases the infielders, falling just beyond them, and then gathers more pace into the boundary line"
1,AFG,2,5.4,4,"C Karunaratne to Hazratullah Zazai, FOUR runs",deft! Length ball angling across and Zazai waits for the ball to get near him before playing a late cut past the diving backward point fielder
1,AFG,2,5.5,2,"C Karunaratne to Hazratullah Zazai, 2 runs","full ball on leg stump and Zazai looks to swipe across his line and hit a six over square leg. But this is mistimed, and Bhanuka runs in from the deep to try and take a catch, but the ball falls just short of him despite the dive."
1,AFG,2,5.6,4,"C Karunaratne to Hazratullah Zazai, FOUR runs",ends the powerplay in style! Even though this didn't go where expected. Full outside leg. Zazai makes room exposing all three stumps. Tries to smack it behind square on the leg side off his pads but it takes a thick edge and flies over the vacant slip cordon
1,AFG,2,6.1,W,"Hasaranga de Silva to Rahmanullah, OUT","much needed for Sri Lanka and the Sri Lankans can afford to smile. Hasaranga bowls it slow, length delivery on off and a googly as well. Gurbaz charges down the track to slog over the leg side but the ball falls well before him, turns past the edge, and crashes into middle and leg stump."
1,AFG,2,6.2,0,"Hasaranga de Silva to Ibrahim Zadran, no run",fullish on off. Punched off the back foot to cover
1,AFG,2,6.3,1,"Hasaranga de Silva to Ibrahim Zadran, 1 run",gets off the mark. Good length ball outside off. Zadran rocks back and plays a punchy shot through the covers to the deep
1,AFG,2,6.4,1,"Hasaranga de Silva to Hazratullah Zazai, 1 run","tossed up on leg stump, and Zazai drills it on the bounce to long on"
1,AFG,2,6.5,0,"Hasaranga de Silva to Ibrahim Zadran, no run",full on off stump. Big stride forward and fended back
1,AFG,2,6.6,1,"Hasaranga de Silva to Ibrahim Zadran, 1 run",flatter. Length ball outside off. Punched to cover's left and they scurry across for a single
1,AFG,2,7.1,2,"Theekshana to Ibrahim Zadran, 2 runs",short ball outside off and he rocks back to cut it to the deep
1,AFG,2,7.2,4,"Theekshana to Ibrahim Zadran, FOUR runs","slashed and slashed hard! Full outside off and tries to smack it square through the off side. Gets an edge, and finds the gap behind point!"
1,AFG,2,7.3,1lb,"Theekshana to Ibrahim Zadran, 1 leg bye","full ball, turning in, hitting his pads and rolling away to short fine"
1,AFG,2,7.4,1,"Theekshana to Hazratullah Zazai, 1 run",length ball slapped off the back foot to the fielder in the deep
1,AFG,2,7.5,0,"Theekshana to Ibrahim Zadran, no run",tosses it up a bit more. Nurdled back to the bowler
1,AFG,2,7.6,0,"Theekshana to Ibrahim Zadran, no run","length ball with Zadran backing away. He doesn't have the width to free his arms, ends up turning it over to midwicket"
1,AFG,2,8.1,1,"Hasaranga de Silva to Hazratullah Zazai, 1 run",googly on a good length. Turning across Zazai and cut to the deep
1,AFG,2,8.2,4,"Hasaranga de Silva to Ibrahim Zadran, FOUR runs",",crunched!"
1,AFG,2,8.3,1,"Hasaranga de Silva to Ibrahim Zadran, 1 run",full ball on off stump. And crunched down the ground for one
1,AFG,2,8.4,1,,
1,AFG,2,8.5,1,"Hasaranga de Silva to Ibrahim Zadran, 1 run",full outside off and he drives away from his body through the covers. Protection in the deep though
1,AFG,2,8.6,0,"Hasaranga de Silva to Hazratullah Zazai, no run","worked off his pads but can't beat short fine. A full ball, googly again around leg stump"
1,AFG,2,9.1,1,"Theekshana to Ibrahim Zadran, 1 run",fuller outside off and struck down the ground for a single
1,AFG,2,9.2,W,"Theekshana to Hazratullah Zazai, OUT","is he run out at the non-striker's? Oh dear, one of the worst ways to be out. Length all on leg stump. Zazai backs away and ends up flat-batting a shot straight back. Theekshana dives to his left, can't grab the ball completely, but gets a touch that takes the ball onto his stumps. Zadran was out of his crease, he knew it as soon as that happened, didn't really wait for the TV umpire."
1,AFG,2,9.3,0,"Theekshana to Hazratullah Zazai, no run",length ball outside off from around the stumps. Cut to the off side
1,AFG,2,9.4,0,"Theekshana to Hazratullah Zazai, no run",sliding delivery originating on a length on off stump. But angling into middle and leg. Zazai tries to whip it across the line but the ball hits his body
1,AFG,2,9.5,1,"Theekshana to Hazratullah Zazai, 1 run",another sliding delivery into the stumps after originating outside off. Cut from near his body to point
1,AFG,2,9.6,1,"Theekshana to Zadran, 1 run",scores are tied with this flick off his pads to the deep behind square.
1,AFG,2,10.1,1,"Asalanka to Zadran, 1 run","full on middle. Zadran tries to slog across the line but it takes an inside edge, goes past leg stump, and Afghanistan win by eight wickets"
1,SL,1,0.1,1,"Fazalhaq Farooqi to Nissanka, 1 run","full on leg stump, and clipped off his pads. To the sweeper fielder behind square on the leg side"
1,SL,1,0.2,2,"Fazalhaq Farooqi to Mendis, 2 runs",overpitched ball on off stump. Bit of swing into him and he drives uppishly straight. Just over the bowler's grasp and Nabi has to run back from mid on to stop the boundary
1,SL,1,0.3,0,"Fazalhaq Farooqi to Mendis, no run",fullish on off stump. Angling across slightly. And left alone
1,SL,1,0.4,0,"Fazalhaq Farooqi to Mendis, no run",good length ball on middle stump. Angling away slightly. Poked to point
1,SL,1,0.5,W,"Fazalhaq Farooqi to Mendis, OUT","fullish on middle and leg stump. Bit of swing into the leg stump. Tries to flick behind square, but misses. Hits the back pad. LBW appeal turned down But Afghanistan review. Ball tracking says the umpire got it wrong. Pitching on leg, hitting leg stump too. Afghanistan strike in the first over!"
1,SL,1,0.6,W,"Fazalhaq Farooqi to Asalanka, OUT","is he one? Looks like! Gets this length ball landing outside off stump and zipping in, surprising the left-hander. He tried to shuffle forward to fend at it, but the ball whizzes past the inside edge and hits him in front of off stump. Asalanka considers reviewing but eventually doesn't, replays confirm that would hit top of middle"
1,SL,1,1.1,0,"Naveen-ul-Haq to Nissanka, no run",good length ball angling in from over the stumps. Shuffles onto the off side and defends
1,SL,1,1.2,0,"Naveen-ul-Haq to Nissanka, no run",full ball on middle and leg. Flick attempted but the ball hits his heel en route to the keeper
1,SL,1,1.3,0,"Naveen-ul-Haq to Nissanka, no run","fuller, just outside off. Crunches a drive but finds cover this time"
1,SL,1,1.4,0,"Naveen-ul-Haq to Nissanka, no run",another length ball slightly outside off stump. Fended to the off side
1,SL,1,1.5,2,"Naveen-ul-Haq to Nissanka, 2 runs","slower ball. Length delivery wide outside off and the cutter jags in sharply. He comes down the track, swings across the line and mistimes a shot to the right of mid on"
1,SL,1,1.6,W,"Naveen-ul-Haq to Nissanka, OUT","full ball just outside off. Rolls his fingers over this delivery, and the ball ends up being a legcutter of sorts, holding its line instead of angling in with the arm. Nissanka tries to swing across the line, with an attempt to mow a shot over mid on, but the ball goes past the outside edge instead. Was there an edge? Umpire thinks so! But again there's a review: Sri Lanka ask for the TV umpire. Nervous Sri Lanka fans in the crowd as we wait for the ultraedge. And even though UltraEdge shows almost no deviation, the umpire says out! The Sri Lankan camp is stunned. Nissanka has to go while the Sri Lanka players still have their jaw on the floor."
1,SL,1,2.1,0,"Fazalhaq Farooqi to Gunathilaka, no run",full ball on off. Skidding into his pads as he presses forward to drive. Inside edged onto his pad.
1,SL,1,2.2,0,"Fazalhaq Farooqi to Gunathilaka, no run",full on middle and off stump. An on drive to mid on this time.
1,SL,1,2.3,0,"Fazalhaq Farooqi to Gunathilaka, no run",length ball on off stump. Shuffles across to the off side and fends by standing tall
1,SL,1,2.4,0,"Fazalhaq Farooqi to Gunathilaka, no run",good length ball on a fourth-stump line. Punches this to the off side
1,SL,1,2.5,0,"Fazalhaq Farooqi to Gunathilaka, no run",nearly chopped on! Gets tall to try and cut this length ball outside off but it comes off the bottom edge and hits his body
1,SL,1,2.6,0,"Fazalhaq Farooqi to Gunathilaka, no run",slower ball. Fullish on off stump. Keeps his eyes on the ball and smothers a shot to the off side.
1,SL,1,3.1,1,"Naveen-ul-Haq to Rajapaksa, 1 run","lands on leg stump, punched into the onside and the pair exchange ends"
1,SL,1,3.2,1,"Naveen-ul-Haq to Gunathilaka, 1 run","full, dug out and they come through for a single"
1,SL,1,3.3,6,"Naveen-ul-Haq to Rajapaksa, SIX runs","lovely pick-up, and Sri Lanka are off and away. Saw the slower delivery coming well in time, adjusted his position, and what a clean shot through the line that was! Carries all the way for a sizeable six."
1,SL,1,3.4,0,"Naveen-ul-Haq to Rajapaksa, no run","hard length this time, and it's defended back to the bowler"
1,SL,1,3.5,1,"Naveen-ul-Haq to Rajapaksa, 1 run","opens the face and runs it down to short third, who's sharp with his fielding"
1,SL,1,3.6,4,"Naveen-ul-Haq to Gunathilaka, FOUR runs","gorgeous. That's is sigh inducing. Majestic from Rajapaksa, who spots the width and the half-volley length, gets down on one knee and times it through extra cover."
1,SL,1,4.1,0,"Mujeeb to Rajapaksa, no run","that's brave, charging Mujeeb off his first ball. Doesn't time it, though"
1,SL,1,4.2,1,"Mujeeb to Rajapaksa, 1 run",hands back in his crease and clips it to short fine
1,SL,1,4.3,0,"Mujeeb to Gunathilaka, no run",prodded into the onside
1,SL,1,4.4,1,"Mujeeb to Gunathilaka, 1 run","darts it in, and he eases it to long-on"
1,SL,1,4.5,0,"Mujeeb to Rajapaksa, no run",this one's a touch too wide
1,SL,1,4.6,1,"Mujeeb to Rajapaksa, 1 run","clipped into the onside and he keeps the strike. Raced through that over, did Mujeeb"
1,SL,1,5.1,1w,"Azmatullah to Rajapaksa, 1 wide",dragged down legside
1,SL,1,5.1,1,"Azmatullah to Rajapaksa, 1 run","slashed away through the offside and gets the treatment it deserves. Short and wide, and an easy putaway"
1,SL,1,5.2,4,"Azmatullah to Gunathilaka, FOUR runs",scoops it over fine leg and it goes all the way! Picked up very cleanly and just used Omarzai's pace to carry it over the fence
1,SL,1,5.3,1w,,
1,SL,1,5.3,4,"Azmatullah to Gunathilaka, FOUR runs","makes room and thrashes it through the covers, and it's four more. Now the runs are flowing relatively freely."
1,SL,1,5.4,1,"Azmatullah to Gunathilaka, 1 run","and he's dropped a dolly! Afghanistan have suddenly lost their heads. That was a really ordinary over of bowling, and it's compoundedby a simple chance shelled at cover-point"
1,SL,1,5.5,4,"Azmatullah to Rajapaksa, FOUR runs","the carnage continues, I can barely keep this up. A classy little leg glance sees the ball race away for another boundary"
1,SL,1,5.6,4,"Azmatullah to Rajapaksa, FOUR runs","you guessed it, it's four more! Short, sat up for Rajapaksa and he pulls it away for another boundary. That's 20 in the over, or something like it, and Sri Lanka are wresting back control of this game."
1,SL,1,6.1,1,"M Nabi to Gunathilaka, 1 run",eased down to mid-off for a single. That's more the pace I can keep up with
1,SL,1,6.2,1w,"M Nabi to Rajapaksa, 1 wide",sends this down leg
1,SL,1,6.2,0,"M Nabi to Rajapaksa, no run",gets the front foot out and defends
1,SL,1,6.3,1,"M Nabi to Rajapaksa, 1 run",nurdled to short fine and they scamper through for one
1,SL,1,6.4,1,"M Nabi to Gunathilaka, 1 run",poked into the offside and they race through once more
1,SL,1,6.5,4,"M Nabi to Rajapaksa, FOUR runs","darted in, but he's allowed him width, and Rajapaksa picks it up over cover-point and dispatches it to the boundary"
1,SL,1,6.6,0,"M Nabi to Rajapaksa, no run","Tried to sweep it but misses. The keeper's convinced it's caught bat, but the umpire's not fooled, and declares it a wide. Afghanistan review Nothing on UltraEdge and this time the umpire decides to reprieve the Sri Lankan batter"
1,SL,1,7.1,0,"Mujeeb to Gunathilaka, no run",defended
1,SL,1,7.2,W,"Mujeeb to Gunathilaka, OUT","brought out the reverse sweep and while he connected well, he sends it straight down Janat's throat at deep point. Mujeeb strikes, and a colourful Sri Lankan partnership draws to a close"
1,SL,1,7.3,0,"Mujeeb to Hasaranga de Silva, no run","angling into the pads, defended to midwicket"
1,SL,1,7.4,0,"Mujeeb to Hasaranga de Silva, no run","extra bounce, he plays and misses"
1,SL,1,7.5,1,"Mujeeb to Hasaranga de Silva, 1 run",slashed to deep backward point. The 50's up
1,SL,1,7.6,4,"Mujeeb to Rajapaksa, FOUR runs","short and wide. Loose delivery, and he presses on despite the loss of his partner, slashing it away for four"
1,SL,1,8.1,0,"Rashid Khan to Hasaranga de Silva, no run",opens the face and runs it to backward point
1,SL,1,8.2,1,"Rashid Khan to Hasaranga de Silva, 1 run",eased to long-on
1,SL,1,8.3,1w,"Rashid Khan to Rajapaksa, 1 wide","wide down legside. The keeper appeals again, but the umpire calls it a wide"
1,SL,1,8.3,2,"Rashid Khan to Rajapaksa, 2 runs",that came back in and was too close to cut. Gets the under edge and bounces over the keeper for runs
1,SL,1,8.4,1,"Rashid Khan to Rajapaksa, 1 run",jabbed to wide long-on for a single
1,SL,1,8.5,0,"Rashid Khan to Hasaranga de Silva, no run","tried to heave it over midwicket, but didn't appear to read the googly. Thick inside edge onto the pad"
1,SL,1,8.6,0,"Rashid Khan to Hasaranga de Silva, no run","looked to carve past short third, but is beaten by the skid. Neat over from the Afghan superstar"
1,SL,1,9.1,1,"Mujeeb to Rajapaksa, 1 run",a little punch into a vacant midwicket region
1,SL,1,9.2,W,"Mujeeb to Hasaranga de Silva, OUT","Hasaranga heaves once more, and this time there's no salvation for him. Poor batting, this. This particular shot always looked low percentage, and he skied this to mid-off, where Mohammad Nabi made no mistake"
1,SL,1,9.3,0,"Mujeeb to Rajapaksa, no run",leans into a cover drive to the fielder
1,SL,1,9.4,4,"Mujeeb to Rajapaksa, FOUR runs",crunches this one past point. Rajapaksa's batting on a different surface. So quick to pick up the short length and dispatch it to the boundary
1,SL,1,9.5,0,"Mujeeb to Rajapaksa, no run",defended back to the bowler
1,SL,1,9.6,0,"Mujeeb to Rajapaksa, no run","play and a miss, and that brings a frenetic ten overs to a close. The umpires summon the drinks trolley"
1,SL,1,10.1,W,"M Nabi to Shanaka, OUT",strikes first ball after drinks. Dangled his bat wide outside off and gets a faint edge on it
1,SL,1,10.2,0,"M Nabi to C Karunaratne, no run",eases it to extra cover
1,SL,1,10.3,0,"M Nabi to C Karunaratne, no run","carried straight on with the angle, and he defends it back to the bowler"
1,SL,1,10.4,1,"M Nabi to C Karunaratne, 1 run",eases this down to long-on for a single
1,SL,1,10.5,1,"M Nabi to Rajapaksa, 1 run",guides it to short third and they scurry through for one
1,SL,1,10.6,0,"M Nabi to C Karunaratne, no run","closed the bat face and got a leading edge, but no harm done. Excellent over for Afghanistan"
1,SL,1,11.1,0,"Rashid Khan to Rajapaksa, no run","opened the face to short third and wanted a single, but he was sent back by Karunaratne. Wisely, too"
1,SL,1,11.2,1,"Rashid Khan to Rajapaksa, 1 run",leans forward and sweeps exapnsively to get a single
1,SL,1,11.3,1,"Rashid Khan to C Karunaratne, 1 run",nurdle into the onside and they get a single despite the spirited efforts of Rashid Khan to prevent it.
1,SL,1,11.4,0,"Rashid Khan to Rajapaksa, no run","googly, defended"
1,SL,1,11.5,0,"Rashid Khan to Rajapaksa, no run",googly once more. He tried to heave it over extra cover but is comprehensively beaten
1,SL,1,11.6,0,"Rashid Khan to Rajapaksa, no run","skidded on and he had to be quick to get out of the way, or it would have been lbw. Dug out eventually, but it's another tight over"
1,SL,1,12.1,0,"M Nabi to C Karunaratne, no run",Nabi's so good at beating these batters outside off. The ball just gets a bit of extra bounce
1,SL,1,12.2,W,"M Nabi to C Karunaratne, 1 run, OUT","this is run-out, surely. Sri Lanka shooting themselves in the foot with this running. A direct hit at the non-striker's end puts an end to Rajapaksa's resistance, and SL in dire straits now"
1,SL,1,12.3,W,"M Nabi to C Karunaratne, OUT","Whoa, I think this is another run-out, and so do Afghanistan! Another unbelievably unnecessary bit of running. he was never going to make it. The keeper has time to collect and whip off the bails, and Theekshana's on his way"
1,SL,1,12.4,0,"M Nabi to Pathirana, no run",lovely bowling. This went the other way and almost kissed the outside edge
1,SL,1,12.5,0,"M Nabi to Pathirana, no run","same again. Much too good for the number ten. Almost swinging away, that"
1,SL,1,12.6,1,"M Nabi to Pathirana, 1 run",this one takes the outside edge which runs away for a single
1,SL,1,13.1,0,"Rashid Khan to Pathirana, no run",wrong'un. Beats the edge
1,SL,1,13.2,0,"Rashid Khan to Pathirana, no run",defended back to the bowler
1,SL,1,13.3,2,"Rashid Khan to Pathirana, 2 runs",turned back in sharply. Fortunate to get an inside edge and squeeze it down to fine leg for a couple
1,SL,1,13.4,0,"Rashid Khan to Pathirana, no run","flatter, defended"
1,SL,1,13.5,1,"Rashid Khan to Pathirana, 1 run","looked to smear it over midwicket. Didn't get it anywhere near the middle, but does get a single"
1,SL,1,13.6,0,"Rashid Khan to C Karunaratne, no run","googly strikes the pads. Rashid's adamant it's out, and strong-arms his captain into reviewing. The impact and wickets are both umpire's call, so the not out decision stands"
1,SL,1,14.1,0,"M Nabi to Pathirana, no run","another ungainly sweep, another miss"
1,SL,1,14.2,1,"M Nabi to Pathirana, 1 run",nudged into the onside and they race through for one
1,SL,1,14.3,0,"M Nabi to C Karunaratne, no run","drives through the offside but the fielder's on his toes, and there's no run to be had"
1,SL,1,14.4,1,"M Nabi to C Karunaratne, 1 run",worked into the onside
1,SL,1,14.5,0,"M Nabi to Pathirana, no run",thick outside edge to short third
1,SL,1,14.6,W,"M Nabi to Pathirana, OUT","finally, the sweep leads to his downfall. There was no conviction, or, frankly, ability behind that shot. So it's little surprise he skies it into the covers"
1,SL,1,15.1,1,"Rashid Khan to Madushanka, 1 run","spinning back in, and he squeezes it to backward point to get off the mark"
1,SL,1,15.2,0,"Rashid Khan to C Karunaratne, no run","eased to long-on, but he refuses the single"
1,SL,1,15.3,0,"Rashid Khan to C Karunaratne, no run","nearly cleaned up. Googly he did not see coming, and the underedge nearly dragged on"
1,SL,1,15.4,0,"Rashid Khan to C Karunaratne, no run","comes back into the pads, but it's spinning too much"
1,SL,1,15.5,0,"Rashid Khan to C Karunaratne, no run",worked into the onside
1,SL,1,15.6,1,"Rashid Khan to C Karunaratne, 1 run",keeps the strike with a slash through the offside
1,SL,1,16.1,4,"Mujeeb to C Karunaratne, FOUR runs","rare loose delivery. A dragdown that's sliding down leg, and it's helped away for four"
1,SL,1,16.2,0,"Mujeeb to C Karunaratne, no run","good-looking shot to long-on. There was probably two on, but he didn't run at all"
1,SL,1,16.3,0,"Mujeeb to C Karunaratne, no run",slapped to long-off on the bounce. No run again
1,SL,1,16.4,0,"Mujeeb to C Karunaratne, no run","slashed to deep cover, and once more, the single is spurned"
1,SL,1,16.5,6,"Mujeeb to C Karunaratne, SIX runs","gets this away all the way for six! It should perhaps have been taken, but the deep midwicket fielder gets a palm on it and it carries over the rope."
1,SL,1,16.6,1,"Mujeeb to C Karunaratne, 1 run",keeps the strike with a single into the onside
1,SL,1,17.1,0,"Fazalhaq Farooqi to C Karunaratne, no run",slower ball. Worked to long-off. No run
1,SL,1,17.2,0,"Fazalhaq Farooqi to C Karunaratne, no run",slapped to long-off. Another slower ball
1,SL,1,17.3,0,"Fazalhaq Farooqi to C Karunaratne, no run","really thought there might have been two on, but Karunaratne's opinion is the one that matters, and he turns it down"
1,SL,1,17.4,2,"Fazalhaq Farooqi to C Karunaratne, 2 runs","driven down the ground, and this time, after a bit of hesitation, he takes a couple"
1,SL,1,17.5,0,"Fazalhaq Farooqi to C Karunaratne, no run",comes down the wicket and Farooqi throws in a slower bouncer that beats him
1,SL,1,17.6,1lb,"Fazalhaq Farooqi to C Karunaratne, 1 leg bye","hits the pad and they absolutely hare through for a single. Whatever else he might have done, Karunaratne really knows how to keep the strike"
1,SL,1,18.1,0,"Naveen-ul-Haq to C Karunaratne, no run","slapped down to long-on. Initially they thought about running, but decided against"
1,SL,1,18.2,0,"Naveen-ul-Haq to C Karunaratne, no run",one bounce to long-on
1,SL,1,18.3,0,"Naveen-ul-Haq to C Karunaratne, no run","slower ball, eased into the offside"
1,SL,1,18.4,2,"Naveen-ul-Haq to C Karunaratne, 2 runs","slower bouncer, but he manages to nudge it into a ga and hare back for a couple"
1,SL,1,18.5,5nb,"Naveen-ul-Haq to C Karunaratne, (no ball) FOUR runs","waist high no-ball, and he smashes it over fine leg for four! Free hit upcoming!"
1,SL,1,18.5,1,"Naveen-ul-Haq to C Karunaratne, 1 run","To add insult to injury, he smashes it down long-off's throat, who takes a catch. Of course it won't count, but SL have come through for a single. Which means Madushanka will need to face a ball"
1,SL,1,18.6,0,"Naveen-ul-Haq to Madushanka, no run","big appeal, and Afghanistan review. But it's going down leg"
1,SL,1,19.1,4,"Fazalhaq Farooqi to C Karunaratne, FOUR runs",stand and deliver. Stayed back in his crease and smashed it down the ground for four
1,SL,1,19.2,0,"Fazalhaq Farooqi to C Karunaratne, no run","waist high full toss, dangerously close to a no-ball. But not quite, according to the square leg umpire"
1,SL,1,19.3,2,"Fazalhaq Farooqi to C Karunaratne, 2 runs","slower ball, places tghis in the gap around midwicket. Brilliant fielding in the deep keeps it to a couple"
1,SL,1,19.4,W,"Fazalhaq Farooqi to C Karunaratne, OUT","cleans him up this time! Looked to crunch it through the offside, but gets an inside edge and it clatters into the stumps. Sri Lanka have something to defend, thanks to Karunaratne. But is it too little too late?"
2,INDIA,2,0.1,1,"Naseem Shah to Rohit Sharma, 1 run","lands on a length, tailing in, defending into the onside"
2,INDIA,2,0.2,W,"Naseem Shah to Rahul, OUT","inside edge dragged onto the stumps, and Rahul departs first ball! Naseem strikes first ball, and Pakistan have their perfect start! Naseem reeled away in celebration, having taken KL Rahul's wicket off his second T20I ball. Is this going to be a nervy chase, then?"
2,INDIA,2,0.3,0,"Naseem Shah to Kohli, no run","tailing back in at pace, and Kohli leaves. Kohli has a wry grin on his face"
2,INDIA,2,0.4,0,"Naseem Shah to Kohli, no run","Kohli has been dropped by Fakhar Zaman! It was at third slip, Kohli was lulled into a loose drive, got a thick edge. Tough chance, but Fakhar Zaman got two hands to it"
2,INDIA,2,0.5,1,"Naseem Shah to Kohli, 1 run","and he's off the mark, and off strike with a single to fine leg"
2,INDIA,2,0.6,1w,"Naseem Shah to Rohit Sharma, 1 wide","taking down leg, and Rizwan dives to collect. He's down, looks in pain, probably cramp"
2,INDIA,2,0.6,0,"Naseem Shah to Rohit Sharma, no run","seaming away, the keeper was celebrating, convinced it was an outside edge. The umpire was unmoved, and Pakistan don't review. All very confusing, but a scintillating start."
2,INDIA,2,1.1,0,"Dahani to Kohli, no run","wicket-to-wicket, solidly defended to the onside"
2,INDIA,2,1.2,0,"Dahani to Kohli, no run","good ball, tailing back into Kohli, who plays with soft hands onto his pad"
2,INDIA,2,1.3,0,"Dahani to Kohli, no run","loose shot, hanging his bat out at one that was well wide. Lucky not to get an edge on it"
2,INDIA,2,1.4,2,"Dahani to Kohli, 2 runs","didn't time that at all, went for an aerial drive over mid-off. Looped up over the fielder allowing them to take a couple"
2,INDIA,2,1.5,4,"Dahani to Kohli, FOUR runs","and as I say that, he plays an authoritative shot, rocking back and dispatching the sort ball with aplomb. Lovely shot of confidence through midwicket"
